Year,N/Corn,N/Cotton,N/Soybeans,N/Wheat,N/Other,PH/Corn,PH/Cotton,PH/Soybeans,PH/Wheat,PH/Other,PO/Corn,PO/Cotton,PO/Soybeans,PO/Potash,PO/Other
Year ending June 30,   Corn,Cotton,Soybeans,  Wheat,  Other ,  Corn,Cotton,Soybeans,  Wheat,  Other ,  Corn,Cotton,Soybeans,  Wheat,  Other 
1964,1623,394,16,353,1967,1053,211,57,271,1787,829,175,70,151,1503
1965,2151,453,19,427,1589,1336,230,90,327,1529,1204,177,117,151,1185
1966,2596,330,40,424,1935,1626,168,165,329,1609,1513,135,183,150,1240
1967,3044,269,56,624,2035,1857,146,204,463,1635,1750,104,231,223,1333
1968,3116,319,67,624,2663,1855,174,211,426,1788,1778,136,257,189,1433
1969,3287,405,48,569,2648,1789,192,227,400,2057,1765,132,276,177,1541
1970,3520,323,63,580,2974,2136,158,215,322,1743,2046,123,308,175,1384
1971,3730,343,62,614,3385,2024,164,229,375,2012,1946,140,282,136,1728
1972,3705,404,72,783,3057,1994,212,285,447,1926,1992,175,370,157,1633
1973,3830,337,95,896,3137,1988,182,380,507,2028,2052,151,498,181,1767
1974,3773,421,87,1078,3798,2102,210,301,621,1864,2361,173,404,263,1882
1975,3885,240,74,1085,3317,1963,102,273,564,1605,2162,86,376,275,1553
1976,5210,353,70,1456,3322,2550,160,296,744,1478,2771,121,452,312,1553
1977,5181,416,113,1279,3658,2523,185,438,647,1837,2835,110,602,294,1993
1978,4888,351,138,1047,3542,2416,163,510,439,1569,2646,112,722,179,1866
1979,5274,352,149,1253,3686,2499,168,624,597,1718,2803,83,933,276,2149
1980,5244,371,137,1570,4085,2413,160,563,677,1618,2927,100,881,291,2046
1981,5588,387,128,1791,4030,2536,171,513,809,1406,3038,99,898,415,1870
1982,5360,330,102,1781,3410,2341,107,411,718,1236,2957,94,699,318,1564
1983,3960,218,115,1651,3183,1696,78,431,715,1218,2124,62,714,367,1564
1984,5391,343,115,1866,3377,2277,128,468,718,1310,2873,95,781,310,1739
1985,5666,325,80,1746,3675,2153,123,380,635,1367,2769,94,682,218,1790
1986,4807,309,82,1708,3518,1964,110,377,623,1104,2331,98,665,301,1658
1987,4194,324,87,1633,3971,1676,108,342,576,1307,2110,77,611,212,1826
1988,4499,390,104,1740,3778,1856,142,367,643,1121,2245,78,720,307,1623
1989,4601,347,93,1924,3628,1798,120,392,751,1056,2196,68,720,317,1537
1990,4748,419,118,1800,3990,1891,133,326,723,1271,2399,90,679,323,1712
1991,4715,477,118,1734,4243,1868,151,312,679,1189,2245,98,568,301,1789
1992,4887,466,98,1889,4106,1854,153,320,688,1204,2256,140,584,254,1808
1993,4369,508,84,1986,4445,1681,171,304,736,1543,2054,140,641,215,2091
1994,4603,649,100,2050,5240,1740,159,290,726,1605,2119,140,624,227,2158
1995,4158,700,154,1955,4752,1496,204,372,719,1635,1800,173,665,236,2254
1996,4829,563,116,2208,4588,1795,193,393,755,1391,2136,230,737,263,1892
1997,4792,525,175,2043,4816,1783,219,490,719,1402,2172,286,1016,257,1694
1998,4846,472,141,2017,4837,1666,212,415,735,1586,2012,259,788,279,1963
1999,4650,544,139,1907,5212,1580,215,441,669,1349,1936,309,805,246,1657
2000,4909,567,160,1891,4808,1763,225,428,636,1262,1920,304,762,228,1757
2001,4249,569,148,1764,4805,1552,236,448,617,1404,1888,314,793,221,1710
2002,4720,508,155,1751,4875,1701,204,470,632,1623,2074,281,952,227,1447
2003,4710,508,154,1804,4916,1682,210,448,651,1300,1963,280,827,234,1647
2004,4792,502,156,1957,5621,1729,206,464,697,1729,2076,277,873,216,2078
2005,5023,517,151,1625,5021,1781,211,448,581,1617,1847,285,860,198,1983
2006,4690,559,109,1430,5256,1696,228,400,538,1617,1901,304,755,138,1625
2007,5714,441,121,1689,5229,2066,156,367,601,1382,2279,192,703,184,1775
2008,5224,421,120,1647,5149,1888,157,436,731,1035,1687,202,750,175,1846
2009,4875,345,101,1394,4746,1425,99,307,479,827,1457,110,511,94,908
2010,5610,380,111,1331,4800,1933,139,552,458,1079,1991,188,774,90,1417
2011,NA,NA,167,1692,NA, NA , NA ,700,597,NA,NA,NA,1143,107,NA
2012,NA,NA,167,1584,NA, NA , NA ,692,555,NA,NA,NA,1153,152,NA
2013,NA,NA,NA,NA,NA, NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
2014,6317,NA,NA,NA,NA,2288, NA ,NA,NA,NA,2408,NA,NA,NA,NA
2015,NA,268,203,1715,NA,NA,100,831,613,NA,NA,133,1332,185,NA
2016,6123,NA,NA,NA,NA,2081,NA,NA,NA,NA,2249,NA,NA,NA,NA