,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Phosphate,Phosphate,Phosphate,Phosphate,Phosphate,Potash,Potash,Potash,Potash,Potash
Year ending June 30,   Corn,Cotton,Soybeans,  Wheat,  Other ,  Corn,Cotton,Soybeans,  Wheat,  Other ,  Corn,Cotton,Soybeans,  Wheat,  Other 
1964,"1,623 ",394 ,16 ,353 ,"1,967 ","1,053 ",211 ,57 ,271 ,"1,787 ",829 ,175 ,70 ,151 ,"1,503 "
1965,"2,151 ",453 ,19 ,427 ,"1,589 ","1,336 ",230 ,90 ,327 ,"1,529 ","1,204 ",177 ,117 ,151 ,"1,185 "
1966,"2,596 ",330 ,40 ,424 ,"1,935 ","1,626 ",168 ,165 ,329 ,"1,609 ","1,513 ",135 ,183 ,150 ,"1,240 "
1967,"3,044 ",269 ,56 ,624 ,"2,035 ","1,857 ",146 ,204 ,463 ,"1,635 ","1,750 ",104 ,231 ,223 ,"1,333 "
1968,"3,116 ",319 ,67 ,624 ,"2,663 ","1,855 ",174 ,211 ,426 ,"1,788 ","1,778 ",136 ,257 ,189 ,"1,433 "
1969,"3,287 ",405 ,48 ,569 ,"2,648 ","1,789 ",192 ,227 ,400 ,"2,057 ","1,765 ",132 ,276 ,177 ,"1,541 "
1970,"3,520 ",323 ,63 ,580 ,"2,974 ","2,136 ",158 ,215 ,322 ,"1,743 ","2,046 ",123 ,308 ,175 ,"1,384 "
1971,"3,730 ",343 ,62 ,614 ,"3,385 ","2,024 ",164 ,229 ,375 ,"2,012 ","1,946 ",140 ,282 ,136 ,"1,728 "
1972,"3,705 ",404 ,72 ,783 ,"3,057 ","1,994 ",212 ,285 ,447 ,"1,926 ","1,992 ",175 ,370 ,157 ,"1,633 "
1973,"3,830 ",337 ,95 ,896 ,"3,137 ","1,988 ",182 ,380 ,507 ,"2,028 ","2,052 ",151 ,498 ,181 ,"1,767 "
1974,"3,773 ",421 ,87 ,"1,078 ","3,798 ","2,102 ",210 ,301 ,621 ,"1,864 ","2,361 ",173 ,404 ,263 ,"1,882 "
1975,"3,885 ",240 ,74 ,"1,085 ","3,317 ","1,963 ",102 ,273 ,564 ,"1,605 ","2,162 ",86 ,376 ,275 ,"1,553 "
1976,"5,210 ",353 ,70 ,"1,456 ","3,322 ","2,550 ",160 ,296 ,744 ,"1,478 ","2,771 ",121 ,452 ,312 ,"1,553 "
1977,"5,181 ",416 ,113 ,"1,279 ","3,658 ","2,523 ",185 ,438 ,647 ,"1,837 ","2,835 ",110 ,602 ,294 ,"1,993 "
1978,"4,888 ",351 ,138 ,"1,047 ","3,542 ","2,416 ",163 ,510 ,439 ,"1,569 ","2,646 ",112 ,722 ,179 ,"1,866 "
1979,"5,274 ",352 ,149 ,"1,253 ","3,686 ","2,499 ",168 ,624 ,597 ,"1,718 ","2,803 ",83 ,933 ,276 ,"2,149 "
1980,"5,244 ",371 ,137 ,"1,570 ","4,085 ","2,413 ",160 ,563 ,677 ,"1,618 ","2,927 ",100 ,881 ,291 ,"2,046 "
1981,"5,588 ",387 ,128 ,"1,791 ","4,030 ","2,536 ",171 ,513 ,809 ,"1,406 ","3,038 ",99 ,898 ,415 ,"1,870 "
1982,"5,360 ",330 ,102 ,"1,781 ","3,410 ","2,341 ",107 ,411 ,718 ,"1,236 ","2,957 ",94 ,699 ,318 ,"1,564 "
1983,"3,960 ",218 ,115 ,"1,651 ","3,183 ","1,696 ",78 ,431 ,715 ,"1,218 ","2,124 ",62 ,714 ,367 ,"1,564 "
1984,"5,391 ",343 ,115 ,"1,866 ","3,377 ","2,277 ",128 ,468 ,718 ,"1,310 ","2,873 ",95 ,781 ,310 ,"1,739 "
1985,"5,666 ",325 ,80 ,"1,746 ","3,675 ","2,153 ",123 ,380 ,635 ,"1,367 ","2,769 ",94 ,682 ,218 ,"1,790 "
1986,"4,807 ",309 ,82 ,"1,708 ","3,518 ","1,964 ",110 ,377 ,623 ,"1,104 ","2,331 ",98 ,665 ,301 ,"1,658 "
1987,"4,194 ",324 ,87 ,"1,633 ","3,971 ","1,676 ",108 ,342 ,576 ,"1,307 ","2,110 ",77 ,611 ,212 ,"1,826 "
1988,"4,499 ",390 ,104 ,"1,740 ","3,778 ","1,856 ",142 ,367 ,643 ,"1,121 ","2,245 ",78 ,720 ,307 ,"1,623 "
1989,"4,601 ",347 ,93 ,"1,924 ","3,628 ","1,798 ",120 ,392 ,751 ,"1,056 ","2,196 ",68 ,720 ,317 ,"1,537 "
1990,"4,748 ",419 ,118 ,"1,800 ","3,990 ","1,891 ",133 ,326 ,723 ,"1,271 ","2,399 ",90 ,679 ,323 ,"1,712 "
1991,"4,715 ",477 ,118 ,"1,734 ","4,243 ","1,868 ",151 ,312 ,679 ,"1,189 ","2,245 ",98 ,568 ,301 ,"1,789 "
1992,"4,887 ",466 ,98 ,"1,889 ","4,106 ","1,854 ",153 ,320 ,688 ,"1,204 ","2,256 ",140 ,584 ,254 ,"1,808 "
1993,"4,369 ",508 ,84 ,"1,986 ","4,445 ","1,681 ",171 ,304 ,736 ,"1,543 ","2,054 ",140 ,641 ,215 ,"2,091 "
1994,"4,603 ",649 ,100 ,"2,050 ","5,240 ","1,740 ",159 ,290 ,726 ,"1,605 ","2,119 ",140 ,624 ,227 ,"2,158 "
1995,"4,158 ",700 ,154 ,"1,955 ","4,752 ","1,496 ",204 ,372 ,719 ,"1,635 ","1,800 ",173 ,665 ,236 ,"2,254 "
1996,"4,829 ",563 ,116 ,"2,208 ","4,588 ","1,795 ",193 ,393 ,755 ,"1,391 ","2,136 ",230 ,737 ,263 ,"1,892 "
1997,"4,792 ",525 ,175 ,"2,043 ","4,816 ","1,783 ",219 ,490 ,719 ,"1,402 ","2,172 ",286 ,"1,016 ",257 ,"1,694 "
1998,"4,846 ",472 ,141 ,"2,017 ","4,837 ","1,666 ",212 ,415 ,735 ,"1,586 ","2,012 ",259 ,788 ,279 ,"1,963 "
1999,"4,650 ",544 ,139 ,"1,907 ","5,212 ","1,580 ",215 ,441 ,669 ,"1,349 ","1,936 ",309 ,805 ,246 ,"1,657 "
2000,"4,909 ",567 ,160 ,"1,891 ","4,808 ","1,763 ",225 ,428 ,636 ,"1,262 ","1,920 ",304 ,762 ,228 ,"1,757 "
2001,"4,249 ",569 ,148 ,"1,764 ","4,805 ","1,552 ",236 ,448 ,617 ,"1,404 ","1,888 ",314 ,793 ,221 ,"1,710 "
2002,"4,720 ",508 ,155 ,"1,751 ","4,875 ","1,701 ",204 ,470 ,632 ,"1,623 ","2,074 ",281 ,952 ,227 ,"1,447 "
2003,"4,710 ",508 ,154 ,"1,804 ","4,916 ","1,682 ",210 ,448 ,651 ,"1,300 ","1,963 ",280 ,827 ,234 ,"1,647 "
2004,"4,792 ",502 ,156 ,"1,957 ","5,621 ","1,729 ",206 ,464 ,697 ,"1,729 ","2,076 ",277 ,873 ,216 ,"2,078 "
2005,"5,023 ",517 ,151 ,"1,625 ","5,021 ","1,781 ",211 ,448 ,581 ,"1,617 ","1,847 ",285 ,860 ,198 ,"1,983 "
2006,"4,690 ",559 ,109 ,"1,430 ","5,256 ","1,696 ",228 ,400 ,538 ,"1,617 ","1,901 ",304 ,755 ,138 ,"1,625 "
2007,"5,714 ",441 ,121 ,"1,689 ","5,229 ","2,066 ",156 ,367 ,601 ,"1,382 ","2,279 ",192 ,703 ,184 ,"1,775 "
2008," 	5,224 ", 	421 , 	120 ," 	1,647 ","5,149 "," 	1,888 ", 	157 , 	436 , 	731 ," 	1,035 "," 	1,687 ", 	202 , 	750 , 	175 ," 	1,846 "
2009," 	4,875 ", 	345 , 	101 ," 	1,394 ","4,746 "," 	1,425 ", 	99 , 	307 , 	479 , 	827 ," 	1,457 ", 	110 , 	511 , 	94 , 	908 
2010," 	5,610 ", 	380 , 	111 ," 	1,331 ","4,800 "," 	1,933 ", 	139 , 	552 , 	458 ," 	1,079 "," 	1,991 ", 	188 , 	774 , 	90 ," 	1,417 "
2011,NA,NA,167 ,"1,692 ",NA, NA , NA ,700 ,597 ,NA,NA,NA,"1,143 ",107 ,NA
2012,NA,NA,167 ,"1,584 ",NA, NA , NA ,692 ,555 ,NA,NA,NA,"1,153 ",152 ,NA
2013,NA,NA,NA,NA,NA, NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA
2014,"6,317 ",NA,NA,NA,NA,"2,288 ", NA ,NA,NA,NA,"2,408 ",NA,NA,NA,NA
2015,NA,268 ,203 ,"1,715 ",NA,NA,100 ,831 ,613 ,NA,NA,133 ,"1,332 ",185 ,NA
2016,"6,123 ",NA,NA,NA,NA,"2,081 ",NA,NA,NA,NA,"2,249 ",NA,NA,NA,NA